Wifi Hotspot Name,Address,Suburb,Latitude,Longitude,Site
Kenmore Library Wifi,"Kenmore Village, 9 Brookfield Rd",KENMORE,-27.50592852,152.9386437,LIB
Mitchelton Library Wifi,37 Helipolis Pde,MITCHELTON,-27.41704165,152.9783402,LIB
Mt Coot-tha Botanic Gardens Library Wifi,"Brisbane Botanic Gardens, Mt Coot-tha Rd",TOOWONG,-27.47529908,152.9760412,LIB
Mt Gravatt Library Wifi,8 Creek Rd,MOUNT GRAVATT,-27.53855482,153.0802628,LIB
Mt Ommaney Library Wifi,"Mt Ommaney Shopping Centre, 171 Dandenong Rd",MOUNT OMMANEY,-27.54824198,152.9378099,LIB
New Farm Library Wifi,135 Sydney St,NEW FARM,-27.46736574,153.0495841,LIB
Nundah Library Wifi,1 Bage St (via Primrose Lane),NUNDAH,-27.40125908,153.0583751,LIB
Sandgate Library Wifi,"Sandgate Town Hall, Seymour St",SANDGATE,-27.32060523,153.0704927,LIB
Stones Corner Library Wifi,280 Logan Rd,STONES CORNER,-27.49803575,153.043655,LIB
Sunnybank Hills Library Wifi,"Sunnybank Hills Shoppingtown, Cnr Compton & Calam Rds",SUNNYBANK HILLS,-27.6109253,153.0550706,LIB
Toowong Library Wifi,"Toowong Village Shopping Centre, 9 Sherwood Rd",TOOWONG,-27.48505116,152.9925091,LIB
West End Library Wifi,178-180 Boundary St,WEST END,-27.48245078,153.0120763,LIB
Wynnum Library Wifi,145 Florence St,WYNNUM,-27.444938,153.171646,LIB
Zillmere Library Wifi,Cnr Jennings St and Zillmere Rd,ZILLMERE,-27.36014232,153.0407898,LIB
QLD_07321001X2,127 Queen St,BRISBANE CITY,-27.46967,153.02515,CBD
QLD_07321010X2,141 Queen St,BRISBANE CITY,-27.46924,153.02579,CBD
QLD_07321014X2,155 Queen St,BRISBANE CITY,-27.46882,153.02657,CBD
QLD_07321017X2,221 ALBERT ST,BRISBANE CITY,-27.469504,153.025176,CBD
QLD_07321116X2,33 Queen St,BRISBANE CITY,-27.47067,153.02387,CBD
QLD_07321117X2,33 Queen St,BRISBANE CITY,-27.47048,153.02392,CBD
QLD_07322112X2,109 Elizabeth St,BRISBANE CITY,-27.470596,153.025824,CBD
QLD_07322116X2,136 Elizabeth St,BRISBANE CITY,-27.470011,153.026413,CBD
QLD_07322117X2,232 Albert St,BRISBANE CITY,-27.469209,153.024791,CBD
QLD_07322119X2,10 Eagle St,BRISBANE CITY,-27.469399,153.030166,CBD
QLD_07322121X2,128 Edward St,BRISBANE CITY,-27.469984,153.028516,CBD
QLD_07322131X2,10 Charlotte St,BRISBANE CITY,-27.47234,153.02498,CBD
QLD_07322136X2,180 Mary St,BRISBANE CITY,-27.470447,153.029261,CBD
QLD_07322138X2,165 Adelaide St,BRISBANE CITY,-27.467763,153.02595,CBD
QLD_07322144X2,179 Ann St,BRISBANE CITY,-27.467221,153.024958,CBD
QLD_07322146X2,280 ADELAIDE ST,BRISBANE CITY,-27.465714,153.028389,CBD
QLD_07322147X2,232 Adelaide St,BRISBANE CITY,-27.46656,153.027263,CBD
QLD_07322148X2,345 Queen St,BRISBANE CITY,-27.46673,153.02909,CBD
QLD_07322150X2,35 Creek St,BRISBANE CITY,-27.467561,153.029193,CBD
QLD_07322165X2,70 Adelaide St,BRISBANE CITY,-27.469385,153.023778,CBD
QLD_07322915X2,15 Adelaide St,BRISBANE CITY,-27.469975,153.023175,CBD
QLD_07322918X2,88 Adelaide St,BRISBANE CITY,-27.46906,153.024087,CBD
QLD_07322920X2,135 Margaret St,BRISBANE CITY,-27.47281561,153.0281487,CBD
QLD_07322921X2,270 ANN ST,BRISBANE CITY,-27.466536,153.02562,CBD
QLD_07322922X2,3 Edward St,BRISBANE CITY,-27.47202,153.0305,CBD
QLD_07322926X2,201 Elizabeth St,BRISBANE CITY,-27.469229,153.027579,CBD
QLD_07322927X2,123 Albert St,BRISBANE CITY,-27.47078,153.02641,CBD
QLD_07322929X2,54 Adelaide St,BRISBANE CITY,-27.469538,153.023588,CBD
QLD_07322948X2,72 QUEEN ST,BRISBANE CITY,-27.4701,153.0239,CBD
QLD_07322952X2,91 Queen St,BRISBANE CITY,-27.4702,153.02444,CBD
QLD_07323600X2,30 HERSCHEL ST NR NORTH QUAY,BRISBANE CITY,-27.467956,153.018788,CBD
QLD_07323602X2,58 Roma St,BRISBANE CITY,-27.46768,153.02212,CBD
QLD_07323604X2,20 Makerston St,BRISBANE CITY,-27.466833,153.018736,CBD
QLD_07323611X2,96 Albert St,BRISBANE CITY,-27.471699,153.027213,CBD
QLD_07323617X2,35 Turbot St,BRISBANE CITY,-27.46888,153.021202,CBD
QLD_07323619X2,304 George St,BRISBANE CITY,-27.469877,153.022385,CBD
QLD_07325251X2,9 Duncan St,FORTITUDE VALLEY,-27.458311,153.033223,SUB
QLD_07325284X2,275 Brunswick St,FORTITUDE VALLEY,-27.45774,153.03407,SUB
QLD_07325711X2,256 Wickham St,FORTITUDE VALLEY,-27.45688,153.03409,SUB
QLD_07325713X2,230 Brunswick St,FORTITUDE VALLEY,-27.456809,153.032926,SUB
QLD_07326909X2,"3 Third Ave, near Brighton Rd",SANDGATE,-27.319618,153.069435,SUB
QLD_07326912X2,119 Brighton Rd,SANDGATE,-27.317763,153.067793,SUB
QLD_07326925X2,3 Knox St,SANDGATE,-27.32196,153.069299,SUB
QLD_07335802X2,51 Chester St,FORTITUDE VALLEY,-27.455837,153.042673,SUB
QLD_07335809X2,1020 BRUNSWICK ST,NEW FARM,-27.471089,153.051264,SUB
QLD_07335815X2,65 James St,FORTITUDE VALLEY,-27.45758223,153.0408661,SUB
QLD_07336704X2,163 Given Tce,PADDINGTON,-27.46228,153.00868,SUB
QLD_07336800X2,18 Caxton St,PETRIE TERRACE,-27.464555,153.012713,SUB
QLD_07336926X2,202 Given Tce,PADDINGTON,-27.4618,153.00605,SUB
QLD_07339716X2,58 Old Cleveland Rd,STONES CORNER,-27.498589,153.045962,SUB
QLD_07339719X2,303 Logan Rd,STONES CORNER,-27.498591,153.0441,SUB
QLD_07339721X2,416 Logan Rd,STONES CORNER,-27.50078,153.04598,SUB
QLD_07339738X2,50 Cleveland St,STONES CORNER,-27.500519,153.044625,SUB
QLD_07383100X1,344 WICKHAM TCE,BRISBANE CITY,-27.464264,153.019492,CBD
QLD_07383100X2,193 Wickham Tce,BRISBANE CITY,-27.465428,153.02407,CBD
QLD_07383102X2,24 Berry St,SPRING HILL,-27.464947,153.023778,SUB
QLD_07383108X2,73 Wickham Tce,SPRING HILL,-27.464606,153.026722,SUB
QLD_07383109X2,369 Ann St,BRISBANE CITY,-27.464118,153.029049,CBD
QLD_07383203X2,1 Astor Tce,SPRING HILL,-27.46387,153.024851,SUB
QLD_07383901X2,465 Wickham Tce,SPRING HILL,-27.46179,153.02098,SUB
QLD_07383902X2,135 Wickham Tce,BRISBANE CITY,-27.464807,153.025661,CBD
QLD_07383903X2,17 Gregory Tce,SPRING HILL,-27.46044,153.01869,SUB
QLD_07383904X2,149 Wickham Tce,SPRING HILL,-27.464646,153.025356,SUB
QLD_07384444X2,100 Grey St,SOUTH BRISBANE,-27.47408,153.018486,SUB
QLD_07384467X2,50 Ernest St,SOUTH BRISBANE,-27.479379,153.021689,SUB
QLD_07384470X2,121 Merivale St,SOUTH BRISBANE,-27.481457,153.021087,SUB
QLD_07384608X2,"Grey St, Maritime Museum",SOUTH BRISBANE,-27.48187,153.02538,SUB
QLD_07384612X1, Grey St,SOUTH BRISBANE,-27.47868477,153.0227853,SUB
QLD_07384714X2,383 Logan Rd,STONES CORNER,-27.499823,153.045197,SUB
QLD_07385210X2,20 Duncan St,FORTITUDE VALLEY,-27.45895629,153.034177,SUB
QLD_07385212X2,390 Brunswick St,FORTITUDE VALLEY,-27.45933,153.03634,SUB
QLD_07385214X2,267 Brunswick St,FORTITUDE VALLEY,-27.45741,153.03363,SUB
QLD_07385217X2,316 Brunswick St,FORTITUDE VALLEY,-27.45774,153.03407,SUB
QLD_07385402X2,39 James St,FORTITUDE VALLEY,-27.45689634,153.0400461,SUB
QLD_07386902X2,"11 Fourth Ave, Cnr Brighton Rd",SANDGATE,-27.318799,153.068623,SUB
QLD_07323624X2,28 Quay St,BRISBANE CITY,-27.467145,153.013533,CBD
QLD_CBD001A,Intersection of Albert St and Alice St,BRISBANE CITY,-27.473612,153.028942,CBD
QLD_CBD004A,Intersection of George St and Alice St,BRISBANE CITY,-27.474748,153.027119,CBD
QLD_CBD005B,Intersection of George St and Adelaide St,BRISBANE CITY,-27.470306,153.02278,CBD
QLD_CBD006A,Intersection of Edward St and Margaret St,BRISBANE CITY,-27.471365,153.030052,CBD
QLD_CBD009A,Intersection of Felix St and Mary St,BRISBANE CITY,-27.470161,153.029606,CBD
QLD_CBD013A,159 William Street,BRISBANE CITY,-27.472409,153.023582,CBD
QLD_CBD017A,Intersection of Alice and William St,BRISBANE CITY,-27.475144,153.026505,CBD
QLD_CBD018A,Intersection of North Quay and Queen St,BRISBANE CITY,-27.471396,153.022694,CBD
QLD_CBD019A,Intersection of North Quay and Adelaide St,BRISBANE CITY,-27.470901,153.022096,CBD
QLD_CBD020A,Intersection of North Quay and Ann St,BRISBANE CITY,-27.470031,153.021108,CBD
QLD_CBD023C,42 Makerston St,BRISBANE CITY,-27.467405,153.017789,CBD
QLD_CBD027A,Intersection of Roma St and Parkland,BRISBANE CITY,-27.467218,153.020932,CBD
QLD_CBD028B,Intersection of Turbot St and Albert St,BRISBANE CITY,-27.467416,153.023131,CBD
QLD_CBD029B,Intersection of Ann St and Roma St,BRISBANE CITY,-27.468296,153.023412,CBD
QLD_CBD031A,Intersection of Charlotte St and Albert St,BRISBANE CITY,-27.471144,153.026854,CBD
QLD_CBD034A,Intersection of Charlotte and Creek St,BRISBANE CITY,-27.468581,153.02993,CBD
QLD_CBD035A,Intersection of Elizabeth St and Creek St,BRISBANE CITY,-27.467901,153.029341,CBD
QLD_CBD036A,Intersection of Elizabeth St and George St,BRISBANE CITY,-27.471761,153.024443,CBD
QLD_CBD042A,Intersection of Ann and George St,BRISBANE CITY,-27.469468,153.021954,CBD
QLD_CBD045A,Intersection of Adelaide St and Creek St,BRISBANE CITY,-27.466392,153.027805,CBD
QLD_CBD046A,Intersection of Creek St and Queen St,BRISBANE CITY,-27.46691,153.028579,CBD
QLD_CBD047B,Intersection of Wharf St and Queen St,BRISBANE CITY,-27.465686,153.030161,CBD
QLD_CBD049A,443 Queen Street,BRISBANE CITY,-27.46488,153.031327,CBD
QLD_CBD050A,80 Eagle Street,BRISBANE CITY,-27.467057,153.029948,CBD
